,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
123,4.8,0.3,"trace,t_1-doccp,hopNN_hopNN_ijik",0.244478875,0.004397708,0.188313457,-13.33115095,-0.587624746,9.569094536,,,,,,,,-0.410986873,,,
124,4.8,0.4,"trace,t_1-doccp,hopNN_hopNN_ijik",0.255674526,0.003133338,0.196140742,-13.32857845,-0.605532602,9.612674573,,,,,,,,-0.414311067,,,
125,4.8,0.6,"trace,t_1-doccp,hopNN_hopNN_ijik",0.270960413,0.002171755,0.195562818,-13.32630143,-0.621367083,9.629904356,,,,,,,,-0.384478804,,,
126,4.8,0.8,"trace,t_1-doccp,hopNN_hopNN_ijik",0.275226261,0.001473093,0.202631333,-13.32457481,-0.635668511,9.533603475,,,,,,,,-0.193131253,,,
127,4.8,1,"trace,t_1-doccp,hopNN_hopNN_ijik",0.300927046,0.00036468,0.203830935,-13.32276062,-0.652074543,9.44000351,,,,,,,,0.054762079,,,
128,3.2,0.05,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.300587721,0.007685354,0.387754312,-13.22949261,-1.983106431,8.683138982,,,,,,,,,-0.319196869,,
129,3.2,0.1,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.301921526,0.010695065,0.387934752,-13.22991443,-1.988955283,8.699625847,,,,,,,,,-0.312383846,,
130,3.2,0.125,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.302745654,0.01124954,0.388046221,-13.23008116,-1.992243352,8.707788171,,,,,,,,,-0.308000976,,
131,3.2,0.15,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.303681663,0.011424556,0.388171112,-13.23020815,-1.995823934,8.715927789,,,,,,,,,-0.302952071,,
132,3.2,0.2,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.299447745,0.010718627,0.402778225,-13.22392544,-2.046152605,8.798845679,,,,,,,,,-0.240581993,,
133,3.2,0.3,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.334969318,0.008328405,0.418102591,-13.23183391,-2.109060226,9.029062052,,,,,,,,,-0.141972991,,
134,3.2,0.4,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.336799989,0.006346516,0.41378761,-13.23344885,-2.098651741,9.024463755,,,,,,,,,-0.160982845,,
135,3.2,0.6,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.310739399,0.003913148,0.407412875,-13.2213609,-2.079690649,8.754860791,,,,,,,,,-0.171787571,,
136,3.2,0.8,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.334585365,0.002539261,0.407080047,-13.22418826,-2.063809897,8.618320888,,,,,,,,,-0.167711885,,
137,3.2,1,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.33832295,0.001722434,0.52409733,-13.2331186,-2.047794895,8.628449012,,,,,,,,,-0.180459314,,
138,4,0.05,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.226114306,0.005971444,0.130922888,-13.31564955,-1.287731198,9.296136547,,,,,,,,,0.170282847,,
139,4,0.1,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.225040567,0.00826679,0.130912064,-13.31700538,-1.281809058,9.283757429,,,,,,,,,0.162643214,,
140,4,0.2,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.22386279,0.008101987,0.130847046,-13.31900107,-1.272764779,9.263660543,,,,,,,,,0.149316085,,
141,4.8,0.05,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.233603497,0.002074199,0.205570208,-13.31188174,-0.594030279,9.41803821,,,,,,,,,0.455392195,,
142,4.8,0.1,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.253994183,0.002961508,0.206918931,-13.31387506,-0.582406552,9.393435251,,,,,,,,,0.448172156,,
143,4.8,0.125,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.252886388,0.003124352,0.207522,-13.31475726,-0.57724744,9.382414868,,,,,,,,,0.44496145,,
144,4.8,0.15,"trace,t_1-doccp,hopNN_hopNN_ijjk",0.251894286,0.003163379,0.208069036,-13.31555597,-0.572572144,9.372347489,,,,,,,,,0.44204215,,
145,4.8,0.2,"trace,t_1-doccp,hopNN_hopNN_ijjk",1.14407812,0.003010904,2.266812344,-13.31690264,0.564694453,9.355117356,,,,,,,,,0.437077366,,
